"crash_unit_id","crash_record_id","rd_no","crash_date","unit_no","unit_type","num_passengers","vehicle_id","cmrc_veh_i","make","model","lic_plate_state","vehicle_year","vehicle_defect","vehicle_type","vehicle_use","travel_direction","maneuver","towed_i","fire_i","occupant_cnt","exceed_speed_limit_i","towed_by","towed_to","area_00_i","area_01_i","area_02_i","area_03_i","area_04_i","area_05_i","area_06_i","area_07_i","area_08_i","area_09_i","area_10_i","area_11_i","area_12_i","area_99_i","first_contact_point","cmv_id","usdot_no","ccmc_no","ilcc_no","commercial_src","gvwr","carrier_name","carrier_state","carrier_city","hazmat_placards_i","hazmat_name","un_no","hazmat_present_i","hazmat_report_i","hazmat_report_no","mcs_report_i","mcs_report_no","hazmat_vio_cause_crash_i","mcs_vio_cause_crash_i","idot_permit_no","wide_load_i","trailer1_width","trailer2_width","trailer1_length","trailer2_length","total_vehicle_length","axle_cnt","vehicle_config","cargo_body_type","load_type","hazmat_out_of_service_i","mcs_out_of_service_i","hazmat_class"
"1302689","447aa7829b3e6013f34c813744ec91451a9c01183ebec60afcaa0b22e756ee811faf28d4ef6021dd4bda37f0c055b41686227fac6a626d604ba81048edbdefb0",,"2022-03-21T15:00:00.000","2","PARKED",,"1237124",,"JEEP","CHEROKEE","IL","2012","NONE","SPORT UTILITY VEHICLE (SUV)","NOT IN USE","N","PARKED",,,"0",,,,,,,,"Y","Y",,,,,,,,,"REAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302618","b1dace6e9ac467a099f376b7f3b86e3690ca2aa8d040b9c48b16df3f11b7efab074ba7408a534d9a8e4248e318bd7cdb15da9c3b749b2c4a0c069c5ebd7e22bc",,"2022-03-21T15:00:00.000","1","DRIVER",,"1237048",,"HYUNDAI","OTHER (EXPLAIN IN NARRATIVE)","IL","2014","UNKNOWN","OTHER","UNKNOWN/NA","N","STRAIGHT AHEAD",,,"1",,,,,"N",,,,,,,,,,,"Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302619","b1dace6e9ac467a099f376b7f3b86e3690ca2aa8d040b9c48b16df3f11b7efab074ba7408a534d9a8e4248e318bd7cdb15da9c3b749b2c4a0c069c5ebd7e22bc",,"2022-03-21T15:00:00.000","2","DRIVER","1","1237053",,"HONDA","HR-V","IL","2017","NONE","OTHER","PERSONAL","N","STRAIGHT AHEAD",,,"2",,,,,,,,,"N","Y",,,,,,,,"REAR-LEFT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1303119","c6d953b62894cd47b7cdd537b1dff75bc01a17c1bdf05c5dcacb16933ea966998df2a30b1d7699811bd8ce7d5f84b940e30755d5caafe5c1d2ea19c6c2019a2d",,"2022-03-21T15:00:00.000","1","DRIVER",,"1237531",,"UNKNOWN","MOTORIZED",,,"UNKNOWN","UNKNOWN/NA","UNKNOWN/NA","UNKNOWN","UNKNOWN/NA",,,"1",,,,,,,,,,,,,,,,,"Y","UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1303120","c6d953b62894cd47b7cdd537b1dff75bc01a17c1bdf05c5dcacb16933ea966998df2a30b1d7699811bd8ce7d5f84b940e30755d5caafe5c1d2ea19c6c2019a2d",,"2022-03-21T15:00:00.000","2","PARKED",,"1237538",,"ACURA","TLX","IL",,"UNKNOWN","SPORT UTILITY VEHICLE (SUV)","PERSONAL","UNKNOWN","PARKED",,,"0",,,,,"Y","Y","Y","Y","Y",,,,,,,,,"UNKNOWN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302676","f3655fe083f989121a623673aafed6ca5aec5c2a1b468d200e7b1330ae7bb0eb8e1c8545de5eba1f44d11a6fffc6d161e03de7ac15fa1becbe2604af202b3009",,"2022-03-21T15:00:00.000","1","DRIVER",,"1237102",,"JEEP","GRAND CHEROKEE","IL","2019","UNKNOWN","SPORT UTILITY VEHICLE (SUV)","PERSONAL","N","UNKNOWN/NA",,,"1",,,,,"Y",,,,,,,,,,,"Y",,"FRONT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302677","f3655fe083f989121a623673aafed6ca5aec5c2a1b468d200e7b1330ae7bb0eb8e1c8545de5eba1f44d11a6fffc6d161e03de7ac15fa1becbe2604af202b3009",,"2022-03-21T15:00:00.000","2","BICYCLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302666","f386d12452e62b8114b225521a625ca43b6a0a91e6f61a91fe343ac56d43d807f197fe71033f3baaa77f6f89fc16f381caa0dceb59f1b41b17d36151539c9a46",,"2022-03-21T15:00:00.000","1","DRIVER",,"1237093",,"TOYOTA","RAV4","IL","2019","UNKNOWN","PASSENGER","PERSONAL","E","STRAIGHT AHEAD",,,"1",,,,,,,,,,,,,,"Y","Y",,,"UNDER CARRIAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302667","f386d12452e62b8114b225521a625ca43b6a0a91e6f61a91fe343ac56d43d807f197fe71033f3baaa77f6f89fc16f381caa0dceb59f1b41b17d36151539c9a46",,"2022-03-21T15:00:00.000","2","DRIVER",,"1237107",,"INFINITI","M35",,"2007","UNKNOWN","PASSENGER","PERSONAL","S","STRAIGHT AHEAD","Y",,"1",,"unknown","unknown",,"Y","Y",,,,,,,,,,,,"FRONT-RIGHT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1302622","033df6362274c01ee7cf0e80bbceb4a2ef20bb57b965b1d6850320b518cfc30d35856febf4a07c5f62d7dea1bc903c66688c3459b94a07e82d4965060bf3d810",,"2022-03-21T14:50:00.000","1","DRIVER",,"1237056",,"NISSAN","ALTIMA","IL","2005","UNKNOWN","PASSENGER","PERSONAL","W","STRAIGHT AHEAD","Y",,"1",,,,,"Y",,,,,,,,,,"Y","Y",,"OTHER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
